State,Total_Cases,New_Cases,Avg_7days,Avg_5days,Dates,Per100,Deaths,Days_100,DeathsDays_5,GrowthRate,New_deaths,Death_7days
Baden-Wuerttemberg,827,0,0,0,2020-03-15,5,2,1,0,0,0,0
Baden-Wuerttemberg,1105,278,0,0,2020-03-16,10,2,2,0,0,0,0
Baden-Wuerttemberg,1479,417,0,0,2020-03-17,13,2,3,0,0,0,0
Baden-Wuerttemberg,1609,130,0,0,2020-03-18,15,2,4,0,24.2,0,0
Baden-Wuerttemberg,2155,546,0,0,2020-03-19,19,6,5,1,26,4,0
Baden-Wuerttemberg,2746,591,0,392,2020-03-20,25,10,6,2,24.1,4,0
Baden-Wuerttemberg,3668,922,412,521,2020-03-21,33,16,7,3,31.6,6,2
Baden-Wuerttemberg,3807,139,432,466,2020-03-22,34,21,8,4,19.3,5,2.7
Baden-Wuerttemberg,3811,4,393,440,2020-03-23,34,21,9,5,10.4,0,2.7
Baden-Wuerttemberg,5348,1537,553,639,2020-03-24,48,30,10,6,14.9,9,4.0
Baden-Wuerttemberg,6069,721,637,665,2020-03-25,55,37,11,7,17.4,7,5.0
Baden-Wuerttemberg,7283,1214,733,723,2020-03-26,66,56,12,8,22.8,19,7.1
Baden-Wuerttemberg,8161,878,774,871,2020-03-27,74,70,13,9,15,14,8.6
Baden-Wuerttemberg,9781,1620,873,1194,2020-03-28,88,101,14,10,17.3,31,12.1
Baden-Wuerttemberg,9794,13,855,889,2020-03-29,88,101,15,11,10,0,11.4
Baden-Wuerttemberg,10943,1149,1019,975,2020-03-30,99,119,16,12,10,18,14.0
Baden-Wuerttemberg,12334,1391,998,1010,2020-03-31,111,165,17,13,8.4,46,19.3
Baden-Wuerttemberg,13410,1076,1049,1050,2020-04-01,121,197,18,14,10.9,32,22.9
Baden-Wuerttemberg,14662,1252,1054,976,2020-04-02,132,241,19,15,10.1,44,26.4
Baden-Wuerttemberg,16059,1397,1128,1253,2020-04-03,145,285,20,16,9.2,44,30.7
Baden-Wuerttemberg,17014,955,1033,1214,2020-04-04,154,316,21,17,7.0,31,30.7
Baden-Wuerttemberg,18614,1600,1260,1256,2020-04-05,168,367,22,18,7.9,51,38.0
Baden-Wuerttemberg,19395,781,1207,1197,2020-04-06,175,387,23,19,7.0,20,38.3
Baden-Wuerttemberg,20141,746,1115,1096,2020-04-07,182,433,24,20,6.1,46,38.3
Baden-Wuerttemberg,20680,539,1039,924,2020-04-08,187,464,25,21,5.4,31,38.1
Baden-Wuerttemberg,21603,923,992,918,2020-04-09,195,519,26,22,4.9,55,39.7
Baden-Wuerttemberg,22433,830,911,764,2020-04-10,203,570,27,23,4.4,51,40.7
Baden-Wuerttemberg,23617,1184,943,844,2020-04-11,213,622,28,24,4.4,52,43.7
Baden-Wuerttemberg,24078,461,781,787,2020-04-12,218,649,29,25,3.5,27,40.3
Baden-Wuerttemberg,24570,592,754,798,2020-04-13,222,677,30,26,3.2,28,41.4
Baden-Wuerttemberg,25040,470,714,707,2020-04-14,226,711,31,27,3.0,34,39.7
Baden-Wuerttemberg,25438,398,694,621,2020-04-15,230,767,32,28,2.8,56,43.3
Baden-Wuerttemberg,25881,443,625,473,2020-04-16,234,802,33,29,2.5,35,40.4
Baden-Wuerttemberg,26543,662,601,513,2020-04-17,240,872,34,30,2.4,70,43.1
Baden-Wuerttemberg,27258,715,534,538,2020-04-18,246,919,35,31,2.1,47,42.4
Baden-Wuerttemberg,27883,625,558,569,2020-04-19,252,968,36,32,2.1,49,45.6
Baden-Wuerttemberg,28253,370,526,563,2020-04-20,255,982,37,33,1.9,14,43.6
Baden-Wuerttemberg,28712,459,525,566,2020-04-21,259,1031,38,34,1.9,49,45.7
Baden-Wuerttemberg,28898,186,494,471,2020-04-22,261,1063,39,35,1.7,32,42.3
Baden-Wuerttemberg,29443,545,509,437,2020-04-23,266,1113,40,36,1.8,50,44.4
Baden-Wuerttemberg,29792,349,464,382,2020-04-24,269,1153,41,37,1.6,40,40.1
Baden-Wuerttemberg,30169,377,416,383,2020-04-25,273,1189,42,38,1.4,36,38.6
Bavaria,886,0,0,0,2020-03-15,6,4,1,0,0,0,0
Bavaria,1067,181,0,0,2020-03-16,7,4,2,0,0,0,0
Bavaria,1109,144,0,0,2020-03-17,9,4,3,0,0,0,0
Bavaria,1243,134,0,0,2020-03-18,10,4,4,0,15,0,0
Bavaria,1692,449,0,0,2020-03-19,13,8,5,1,21.2,4,0
Bavaria,2401,709,0,323,2020-03-20,18,12,6,2,32,4,0
Bavaria,2960,559,311,399,2020-03-21,23,19,7,3,32.2,7,2.1
Bavaria,3650,690,409,508,2020-03-22,28,21,8,4,27.8,2,2.4
Bavaria,4892,1242,561,730,2020-03-23,37,26,9,5,27.6,5,3.1
Bavaria,5754,862,664,812,2020-03-24,44,30,10,6,24.3,4,3.7
Bavaria,6558,804,759,831,2020-03-25,50,37,11,7,20.3,7,4.7
Bavaria,7993,1435,900,1007,2020-03-26,61,47,12,8,18,10,5.6
Bavaria,9481,1488,1011,1166,2020-03-27,73,55,13,9,18.4,8,6.1
Bavaria,11150,1669,1170,1252,2020-03-28,85,77,14,10,19.1,22,8.3
Bavaria,12881,1731,1319,1425,2020-03-29,99,107,15,11,17.1,30,12.3
Bavaria,13989,1108,1300,1486,2020-03-30,107,127,16,12,13.5,20,14.4
Bavaria,14810,821,1294,1363,2020-03-31,113,162,17,13,9.6,35,18.9
Bavaria,16497,1687,1420,1403,2020-04-01,126,225,18,14,8.7,63,26.9
Bavaria,18496,1999,1500,1469,2020-04-02,141,268,19,15,9.9,43,31.6
Bavaria,20237,1741,1537,1471,2020-04-03,155,307,20,16,9.3,39,36.0
Bavaria,21908,1671,1537,1584,2020-04-04,168,349,21,17,8.3,42,38.9
Bavaria,23846,1938,1566,1807,2020-04-05,182,396,22,18,7.7,47,41.3
Bavaria,24974,1128,1569,1695,2020-04-06,191,437,23,19,7.1,41,44.3
Bavaria,26163,1189,1622,1533,2020-04-07,200,481,24,20,6.9,44,45.6
Bavaria,27564,1401,1581,1465,2020-04-08,211,564,25,21,6.3,83,48.4
Bavaria,28827,1263,1476,1384,2020-04-09,220,635,26,22,5.6,71,52.4
Bavaria,30363,1536,1447,1303,2020-04-10,232,703,27,23,5.3,68,56.6
Bavaria,31453,1090,1364,1296,2020-04-11,241,747,28,24,4.7,44,56.9
Bavaria,32282,829,1205,1224,2020-04-12,247,786,29,25,4.0,39,55.7
Bavaria,33015,733,1149,1090,2020-04-13,252,820,30,26,3.7,34,54.7
Bavaria,33569,554,1058,948,2020-04-14,257,872,31,27,3.3,52,55.9
Bavaria,34294,725,961,786,2020-04-15,262,954,32,28,2.9,82,55.7
Bavaria,35142,848,902,738,2020-04-16,269,1049,33,29,2.7,95,59.1
Bavaria,36027,885,809,749,2020-04-17,276,1137,34,30,2.4,88,62.0
Bavaria,36881,854,775,773,2020-04-18,282,1198,35,31,2.2,61,64.4
Bavaria,37407,526,732,768,2020-04-19,286,1256,36,32,2.0,58,67.1
Bavaria,37849,442,691,711,2020-04-20,289,1286,37,33,1.9,30,66.6
Bavaria,38310,461,677,634,2020-04-21,293,1336,38,34,1.8,50,66.3
Bavaria,38814,504,646,557,2020-04-22,297,1424,39,35,1.7,88,67.1
Bavaria,39395,581,608,503,2020-04-23,301,1476,40,36,1.6,52,61.0
Bavaria,39939,544,559,506,2020-04-24,305,1525,41,37,1.4,49,55.4
Bavaria,40547,608,524,540,2020-04-25,310,1566,42,38,1.3,41,52.6
Berlin,265,0,0,0,2020-03-15,7,0,1,0,0,0,0
Berlin,300,35,0,0,2020-03-16,8,0,2,0,0,0,0
Berlin,345,45,0,0,2020-03-17,9,0,3,0,0,0,0
Berlin,391,46,0,0,2020-03-18,10,0,4,0,13.8,0,0
Berlin,573,182,0,0,2020-03-19,15,0,5,0,26.4,0,0
Berlin,731,158,0,93,2020-03-20,20,0,6,0,29.6,0,0
Berlin,866,135,86,113,2020-03-21,23,1,7,0,28,1,0.1
Berlin,1024,158,108,136,2020-03-22,27,1,8,0,20.7,0,0.1
Berlin,1077,53,111,137,2020-03-23,29,1,9,0,13.2,0,0.1
Berlin,1220,143,125,129,2020-03-24,33,1,10,0,11.9,0,0.1
Berlin,1428,208,148,139,2020-03-25,38,2,11,0,12.2,1,0.3
Berlin,1656,228,155,158,2020-03-26,44,4,12,0,15.5,2,0.6
Berlin,1955,299,175,186,2020-03-27,52,8,13,1,17.1,4,1.1
Berlin,2161,206,185,217,2020-03-28,58,8,14,2,14.5,0,1.0
Berlin,2360,199,191,228,2020-03-29,63,9,15,3,12.2,1,1.1
Berlin,2464,104,198,207,2020-03-30,66,11,16,4,7.9,2,1.4
Berlin,2575,111,194,184,2020-03-31,69,13,17,5,5.9,2,1.7
Berlin,2754,179,189,160,2020-04-01,73,16,18,6,5.3,3,2.0
Berlin,2970,216,188,162,2020-04-02,79,19,19,7,6.5,3,2.1
Berlin,3202,232,178,168,2020-04-03,85,20,20,8,6.4,1,1.7
Berlin,3471,269,187,201,2020-04-04,93,22,21,9,6.3,2,2.0
Berlin,3613,142,179,208,2020-04-05,96,24,22,10,5.6,2,2.1
Berlin,3670,57,172,183,2020-04-06,98,26,23,11,5.0,2,2.1
Berlin,3845,175,181,175,2020-04-07,103,28,24,12,5.1,2,2.1
Berlin,4028,183,182,165,2020-04-08,107,32,25,13,4.9,4,2.3
Berlin,4202,174,176,146,2020-04-09,112,37,26,14,4.6,5,2.6
Berlin,4349,147,164,147,2020-04-10,116,42,27,15,4.1,5,3.1
Berlin,4458,109,141,158,2020-04-11,119,46,28,16,3.4,4,3.4
Berlin,4567,109,136,144,2020-04-12,122,50,29,17,3.1,4,3.7
Berlin,4601,34,133,115,2020-04-13,123,51,30,18,3.0,1,3.6
Berlin,4668,67,118,93,2020-04-14,125,56,31,19,2.6,5,4.0
Berlin,4722,54,99,75,2020-04-15,126,62,32,20,2.1,6,4.3
Berlin,4848,126,92,78,2020-04-16,129,74,33,21,2.0,12,5.3
Berlin,4945,97,85,76,2020-04-17,132,84,34,22,1.8,10,6.0
Berlin,5066,121,87,93,2020-04-18,135,91,35,23,1.8,7,6.4
Berlin,5159,93,85,98,2020-04-19,138,92,36,24,1.7,1,6.0
Berlin,5196,37,85,95,2020-04-20,139,94,37,25,1.7,2,6.1
Berlin,5237,41,81,78,2020-04-21,140,97,38,26,1.6,3,5.9
Berlin,5312,75,84,73,2020-04-22,142,105,39,27,1.6,8,6.1
Berlin,5324,12,68,52,2020-04-23,146,105,40,28,1.3,0,4.4
Berlin,5459,135,73,60,2020-04-24,150,112,41,29,1.4,7,4.0
Berlin,5525,66,66,66,2020-04-25,147,113,42,30,1.2,1,3.1
Hamburg,162,0,0,0,2020-03-15,9,0,1,0,0,0,0
Hamburg,260,98,0,0,2020-03-16,14,0,2,0,0,0,0
Hamburg,310,55,0,0,2020-03-17,17,0,3,0,0,0,0
Hamburg,358,48,0,0,2020-03-18,19,0,4,0,27.5,0,0
Hamburg,432,74,0,0,2020-03-19,23,0,5,0,19.1,0,0
Hamburg,586,154,0,86,2020-03-20,32,0,6,0,25.1,0,0
Hamburg,587,1,61,66,2020-03-21,32,0,7,0,16.6,0,0.0
Hamburg,872,285,102,112,2020-03-22,47,0,8,0,27.5,0,0.0
Hamburg,943,71,98,117,2020-03-23,51,0,9,0,17.5,0,0.0
Hamburg,1043,100,105,122,2020-03-24,57,0,10,0,19,0,0.0
Hamburg,1262,219,129,135,2020-03-25,69,0,11,0,13.6,0,0.0
Hamburg,1265,3,119,136,2020-03-26,69,0,12,0,9.9,0,0.0
Hamburg,1693,428,158,164,2020-03-27,92,2,13,0,18.2,2,0.3
Hamburg,1765,72,168,164,2020-03-28,96,2,14,0,11.9,0,0.3
Hamburg,1846,81,139,161,2020-03-29,100,4,15,0,12.3,2,0.6
Hamburg,2053,207,159,158,2020-03-30,112,5,16,1,6.8,1,0.7
Hamburg,2191,138,164,185,2020-03-31,119,9,17,2,7.5,4,1.3
Hamburg,2311,120,150,124,2020-04-01,126,14,18,3,7.6,5,2.0
Hamburg,2406,95,163,128,2020-04-02,131,14,19,4,5.4,0,2.0
Hamburg,2596,190,129,150,2020-04-03,141,16,20,5,5.9,2,2.0
Hamburg,2697,101,133,129,2020-04-04,146,16,21,6,5.5,0,2.0
Hamburg,2945,248,157,151,2020-04-05,160,19,22,7,6.1,3,2.1
Hamburg,2993,48,134,136,2020-04-06,163,19,23,8,4.9,0,2.0
Hamburg,3059,66,124,131,2020-04-07,166,20,24,9,4.3,1,1.6
Hamburg,3165,106,122,114,2020-04-08,172,23,25,10,4.1,3,1.3
Hamburg,3320,155,131,125,2020-04-09,180,44,26,11,4.2,21,4.3
Hamburg,3551,231,136,121,2020-04-10,193,53,27,12,4.3,9,5.3
Hamburg,3663,112,138,134,2020-04-11,199,56,28,13,4.1,3,5.7
Hamburg,3742,79,114,137,2020-04-12,203,56,29,14,3.2,0,5.3
Hamburg,3770,28,111,121,2020-04-13,205,56,30,15,3.0,0,5.3
Hamburg,3808,38,107,98,2020-04-14,207,59,31,16,2.9,3,5.6
Hamburg,3869,61,101,64,2020-04-15,210,67,32,17,2.7,8,6.3
Hamburg,3953,84,90,58,2020-04-16,215,80,33,18,2.4,13,5.1
Hamburg,4005,52,65,53,2020-04-17,218,84,34,19,1.7,4,4.4
Hamburg,4118,113,65,70,2020-04-18,224,90,35,20,1.6,6,4.9
Hamburg,4167,49,61,72,2020-04-19,226,91,36,21,1.5,1,5.0
Hamburg,4185,18,59,63,2020-04-20,227,91,37,22,1.4,0,5.0
Hamburg,4204,19,57,50,2020-04-21,228,91,38,23,1.4,0,4.6
Hamburg,4204,0,48,40,2020-04-22,228,91,39,24,1.1,0,3.4
Hamburg,4286,82,48,34,2020-04-23,232,113,40,25,1.1,22,4.7
Hamburg,4358,72,50,38,2020-04-24,237,122,41,26,1.2,9,5.4
Hamburg,4400,42,40,43,2020-04-25,239,139,42,27,0.9,17,7.0
Hesse,286,0,0,0,2020-03-15,3,0,1,0,0,0,0
Hesse,342,56,0,0,2020-03-16,4,0,2,0,0,0,0
Hesse,373,132,0,0,2020-03-17,6,0,3,0,0,0,0
Hesse,432,59,0,0,2020-03-18,7,0,4,0,24.6,0,0
Hesse,682,250,0,0,2020-03-19,11,0,5,0,38.4,0,0
Hesse,813,131,0,126,2020-03-20,13,1,6,0,29.7,1,0
Hesse,1080,267,128,168,2020-03-21,17,2,7,0,33.6,1,0.3
Hesse,1175,95,141,160,2020-03-22,19,2,8,0,19.1,0,0.3
Hesse,1347,172,158,183,2020-03-23,21,3,9,0,17.4,1,0.4
Hesse,1620,273,178,188,2020-03-24,26,4,10,0,15,1,0.6
Hesse,1754,134,189,188,2020-03-25,28,4,11,0,14,0,0.6
Hesse,2157,403,211,215,2020-03-26,34,6,12,1,17.2,2,0.9
Hesse,2323,166,216,230,2020-03-27,37,7,13,2,12.7,1,0.9
Hesse,2604,281,218,251,2020-03-28,42,9,14,3,13.6,2,1.0
Hesse,2645,1,204,197,2020-03-29,42,9,15,4,6.3,0,1.0
Hesse,3091,486,249,267,2020-03-30,49,13,16,5,10.1,4,1.4
Hesse,3283,192,238,225,2020-03-31,52,17,17,6,8.1,4,1.9
Hesse,3445,162,242,224,2020-04-01,55,21,18,7,9.3,4,2.4
Hesse,3707,262,221,221,2020-04-02,59,27,19,8,6.3,6,3.0
Hesse,3993,286,239,278,2020-04-03,64,33,20,9,6.8,6,3.7
Hesse,4279,286,239,238,2020-04-04,68,42,21,10,7.5,9,4.7
Hesse,4575,296,281,258,2020-04-05,73,56,22,11,7.0,14,6.7
Hesse,4674,99,226,278,2020-04-06,75,61,23,12,5.3,5,6.9
Hesse,4837,163,222,226,2020-04-07,77,73,24,14,4.9,12,8.0
Hesse,4965,128,217,194,2020-04-08,79,84,25,15,4.6,11,9.0
Hesse,5242,277,219,193,2020-04-09,84,100,26,16,4.5,16,10.4
Hesse,5694,452,243,224,2020-04-10,91,111,27,17,4.8,11,11.1
Hesse,5808,114,218,227,2020-04-11,93,120,28,18,4.1,9,11.1
Hesse,5859,51,183,204,2020-04-12,94,123,29,19,3.3,3,9.6
Hesse,6114,255,206,230,2020-04-13,98,135,30,20,3.6,12,10.6
Hesse,6183,69,192,188,2020-04-14,99,147,31,21,3.2,12,10.6
Hesse,6347,164,197,131,2020-04-15,101,173,32,22,3.3,26,12.7
Hesse,6470,123,175,132,2020-04-16,103,187,33,23,2.8,14,12.4
Hesse,6705,235,144,169,2020-04-17,107,197,34,24,2.3,10,12.3
Hesse,6916,211,158,160,2020-04-18,110,212,35,25,2.4,15,13.1
Hesse,7108,192,178,185,2020-04-19,113,230,36,26,2.7,18,15.3
Hesse,7177,69,152,166,2020-04-20,115,240,37,27,2.2,10,15.0
Hesse,7231,54,150,152,2020-04-21,115,251,38,28,2.1,11,14.9
Hesse,7380,149,148,135,2020-04-22,118,265,39,29,2.1,14,13.1
Hesse,7593,213,160,135,2020-04-23,121,286,40,30,2.2,21,14.1
Hesse,7712,119,144,121,2020-04-24,123,296,41,31,1.9,10,14.1
Hesse,7837,125,132,132,2020-04-25,125,305,42,32,1.7,9,13.3
Lower_Saxony,287,0,0,0,2020-03-15,3,0,1,0,0,0,0
Lower_Saxony,391,104,0,0,2020-03-16,3,0,2,0,0,0,0
Lower_Saxony,325,53,0,0,2020-03-17,4,0,3,0,0,0,0
Lower_Saxony,478,153,0,0,2020-03-18,6,0,4,0,30.8,0,0
Lower_Saxony,669,191,0,0,2020-03-19,8,0,5,0,33.2,0,0
Lower_Saxony,803,134,0,127,2020-03-20,10,0,6,0,32.4,0,0
Lower_Saxony,1023,220,122,150,2020-03-21,13,0,7,0,28,0,0.0
Lower_Saxony,1306,283,163,196,2020-03-22,16,1,8,0,25.5,1,0.1
Lower_Saxony,1483,177,173,201,2020-03-23,19,4,9,0,21.7,3,0.6
Lower_Saxony,1764,281,206,219,2020-03-24,22,6,10,1,19.4,2,0.9
Lower_Saxony,2140,376,237,267,2020-03-25,27,7,11,2,18.3,1,1.0
Lower_Saxony,2357,207,240,265,2020-03-26,29,8,12,3,16,1,1.1
Lower_Saxony,2810,463,287,301,2020-03-27,35,10,13,4,16.7,2,1.4
Lower_Saxony,3150,340,304,333,2020-03-28,39,12,14,5,13.8,2,1.7
Lower_Saxony,3450,300,306,337,2020-03-29,43,21,15,6,13.3,9,2.9
Lower_Saxony,3732,282,321,318,2020-03-30,47,26,16,7,9.8,5,3.1
Lower_Saxony,4063,331,328,343,2020-03-31,51,34,17,8,8.8,8,4.0
Lower_Saxony,4382,319,320,314,2020-04-01,55,42,18,9,8.3,8,5.0
Lower_Saxony,4695,313,335,309,2020-04-02,59,45,19,10,7.9,3,5.3
Lower_Saxony,5081,386,324,326,2020-04-03,64,65,20,11,7.7,20,7.9
Lower_Saxony,5571,490,346,368,2020-04-04,70,85,21,12,7.3,20,10.4
Lower_Saxony,5712,141,323,330,2020-04-05,72,89,22,13,6.3,4,9.7
Lower_Saxony,5960,248,318,379,2020-04-06,75,92,23,14,5.8,3,9.4
Lower_Saxony,6200,240,305,301,2020-04-07,78,111,24,15,5.3,19,11.0
Lower_Saxony,6385,185,286,261,2020-04-08,80,121,25,16,4.8,10,11.3
Lower_Saxony,6804,419,301,247,2020-04-09,85,141,26,17,4.9,20,13.7
Lower_Saxony,7114,310,290,280,2020-04-10,89,161,27,18,4.5,20,13.7
