State,New_cases,Averaged_2days,,,,,,,,,,,,,,,,
Baden-Württemberg,417,273.5,,,,,,,,,,,,,,,,
Baden-Württemberg,130,,,,,,,,,,,,,,,,,
Baden-Württemberg,546,568.5,,,,,,,,,,,,,,,,
Baden-Württemberg,591,,,,,,,,,,,,,,,,,
Baden-Württemberg,922,530.5,,,,,,,,,,,,,,,,
Baden-Württemberg,139,,,,,,,,,,,,,,,,,
Baden-Württemberg,4,770.5,,,,,,,,,,,,,,,,
Baden-Württemberg,1537,,,,,,,,,,,,,,,,,
Baden-Württemberg,721,967.5,,,,,,,,,,,,,,,,
Baden-Württemberg,1214,,,,,,,,,,,,,,,,,
Baden-Württemberg,878,1249,,,,,,,,,,,,,,,,
Baden-Württemberg,1620,,,,,,,,,,,,,,,,,
Baden-Württemberg,13,581,,,,,,,,,,,,,,,,
Baden-Württemberg,1149,,,,,,,,,,,,,,,,,
Baden-Württemberg,1391,1233.5,,,,,,,,,,,,,,,,
Baden-Württemberg,1076,,,,,,,,,,,,,,,,,
Bavaria,144,139,,,,,,,,,,,,,,,,
Bavaria,134,,,,,,,,,,,,,,,,,
Bavaria,449,579,,,,,,,,,,,,,,,,
Bavaria,709,,,,,,,,,,,,,,,,,
Bavaria,559,624.5,,,,,,,,,,,,,,,,
Bavaria,690,,,,,,,,,,,,,,,,,
Bavaria,1242,1052,,,,,,,,,,,,,,,,
Bavaria,862,,,,,,,,,,,,,,,,,
Bavaria,804,1119.5,,,,,,,,,,,,,,,,
Bavaria,1435,,,,,,,,,,,,,,,,,
Bavaria,1488,1578.5,,,,,,,,,,,,,,,,
Bavaria,1669,,,,,,,,,,,,,,,,,
Bavaria,1731,1419.5,,,,,,,,,,,,,,,,
Bavaria,1108,,,,,,,,,,,,,,,,,
Bavaria,821,1254,,,,,,,,,,,,,,,,
Bavaria,1687,,,,,,,,,,,,,,,,,
Berlin,45,45.5,,,,,,,,,,,,,,,,
Berlin,46,,,,,,,,,,,,,,,,,
Berlin,182,170,,,,,,,,,,,,,,,,
Berlin,158,,,,,,,,,,,,,,,,,
Berlin,135,146.5,,,,,,,,,,,,,,,,
Berlin,158,,,,,,,,,,,,,,,,,
Berlin,53,98,,,,,,,,,,,,,,,,
Berlin,143,,,,,,,,,,,,,,,,,
Berlin,208,218,,,,,,,,,,,,,,,,
Berlin,228,,,,,,,,,,,,,,,,,
Berlin,299,252.5,,,,,,,,,,,,,,,,
Berlin,206,,,,,,,,,,,,,,,,,
Berlin,199,151.5,,,,,,,,,,,,,,,,
Berlin,104,,,,,,,,,,,,,,,,,
Berlin,111,145,,,,,,,,,,,,,,,,
Berlin,179,,,,,,,,,,,,,,,,,
Brandenburg,8,13.5,,,,,,,,,,,,,,,,
Brandenburg,19,,,,,,,,,,,,,,,,,
Brandenburg,42,50,,,,,,,,,,,,,,,,
Brandenburg,58,,,,,,,,,,,,,,,,,
Brandenburg,62,41,,,,,,,,,,,,,,,,
Brandenburg,20,,,,,,,,,,,,,,,,,
Brandenburg,14,34.5,,,,,,,,,,,,,,,,
Brandenburg,55,,,,,,,,,,,,,,,,,
Brandenburg,86,67,,,,,,,,,,,,,,,,
Brandenburg,48,,,,,,,,,,,,,,,,,
Brandenburg,60,84,,,,,,,,,,,,,,,,
Brandenburg,108,,,,,,,,,,,,,,,,,
Brandenburg,76,58,,,,,,,,,,,,,,,,
Brandenburg,40,,,,,,,,,,,,,,,,,
Brandenburg,37,60,,,,,,,,,,,,,,,,
Brandenburg,83,,,,,,,,,,,,,,,,,
Bremen,1,6.5,,,,,,,,,,,,,,,,
Bremen,12,,,,,,,,,,,,,,,,,
Bremen,11,26,,,,,,,,,,,,,,,,
Bremen,41,,,,,,,,,,,,,,,,,
Bremen,21,22,,,,,,,,,,,,,,,,
Bremen,23,,,,,,,,,,,,,,,,,
Bremen,5,9,,,,,,,,,,,,,,,,
Bremen,13,,,,,,,,,,,,,,,,,
Bremen,17,14,,,,,,,,,,,,,,,,
Bremen,11,,,,,,,,,,,,,,,,,
Bremen,30,24.5,,,,,,,,,,,,,,,,
Bremen,19,,,,,,,,,,,,,,,,,
Bremen,15,13,,,,,,,,,,,,,,,,
Bremen,11,,,,,,,,,,,,,,,,,
Bremen,8,12.5,,,,,,,,,,,,,,,,
Bremen,17,,,,,,,,,,,,,,,,,
Hamburg,55,51.5,,,,,,,,,,,,,,,,
Hamburg,48,,,,,,,,,,,,,,,,,
Hamburg,74,114,,,,,,,,,,,,,,,,
Hamburg,154,,,,,,,,,,,,,,,,,
Hamburg,1,143,,,,,,,,,,,,,,,,
Hamburg,285,,,,,,,,,,,,,,,,,
Hamburg,71,85.5,,,,,,,,,,,,,,,,
Hamburg,100,,,,,,,,,,,,,,,,,
Hamburg,219,111,,,,,,,,,,,,,,,,
Hamburg,3,,,,,,,,,,,,,,,,,
Hamburg,428,250,,,,,,,,,,,,,,,,
Hamburg,72,,,,,,,,,,,,,,,,,
Hamburg,81,144,,,,,,,,,,,,,,,,
Hamburg,207,,,,,,,,,,,,,,,,,
Hamburg,138,129,,,,,,,,,,,,,,,,
Hamburg,120,,,,,,,,,,,,,,,,,
Hesse,132,95.5,,,,,,,,,,,,,,,,
Hesse,59,,,,,,,,,,,,,,,,,
Hesse,250,190.5,,,,,,,,,,,,,,,,
Hesse,131,,,,,,,,,,,,,,,,,
Hesse,267,181,,,,,,,,,,,,,,,,
Hesse,95,,,,,,,,,,,,,,,,,
Hesse,172,222.5,,,,,,,,,,,,,,,,
Hesse,273,,,,,,,,,,,,,,,,,
Hesse,134,268.5,,,,,,,,,,,,,,,,
Hesse,403,,,,,,,,,,,,,,,,,
Hesse,166,223.5,,,,,,,,,,,,,,,,
Hesse,281,,,,,,,,,,,,,,,,,
Hesse,1,243.5,,,,,,,,,,,,,,,,
Hesse,486,,,,,,,,,,,,,,,,,
Hesse,192,177,,,,,,,,,,,,,,,,
Hesse,162,,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,9,10,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,11,,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,42,37.5,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,33,,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,34,20.5,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,7,,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,0,13.5,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,27,,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,19,22.5,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,26,,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,15,32,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,49,,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,40,24,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,8,,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,10,25,,,,,,,,,,,,,,,,
Mecklenburg-WPomerania,40,,,,,,,,,,,,,,,,,
Lower_Saxony,53,103,,,,,,,,,,,,,,,,
Lower_Saxony,153,,,,,,,,,,,,,,,,,
Lower_Saxony,191,162.5,,,,,,,,,,,,,,,,
Lower_Saxony,134,,,,,,,,,,,,,,,,,
Lower_Saxony,220,251.5,,,,,,,,,,,,,,,,
Lower_Saxony,283,,,,,,,,,,,,,,,,,
Lower_Saxony,177,229,,,,,,,,,,,,,,,,
Lower_Saxony,281,,,,,,,,,,,,,,,,,
Lower_Saxony,376,291.5,,,,,,,,,,,,,,,,
Lower_Saxony,207,,,,,,,,,,,,,,,,,
Lower_Saxony,463,401.5,,,,,,,,,,,,,,,,
Lower_Saxony,340,,,,,,,,,,,,,,,,,
Lower_Saxony,300,291,,,,,,,,,,,,,,,,
Lower_Saxony,282,,,,,,,,,,,,,,,,,
Lower_Saxony,331,325,,,,,,,,,,,,,,,,
Lower_Saxony,319,,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,564,415.5,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,267,,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,661,562.5,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,464,,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,45,24,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,3,,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,2070,1386.5,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,703,,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,879,803,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,727,,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,1311,1391.5,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,1472,,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,793,785.5,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,778,,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,1047,1086.5,,,,,,,,,,,,,,,,
NorthRhine-Westphalia,1126,,,,,,,,,,,,,,,,,
Rhineland-Palatinate,117,74.5,,,,,,,,,,,,,,,,
Rhineland-Palatinate,32,,,,,,,,,,,,,,,,,
Rhineland-Palatinate,163,163.5,,,,,,,,,,,,,,,,
Rhineland-Palatinate,164,,,,,,,,,,,,,,,,,
Rhineland-Palatinate,137,126,,,,,,,,,,,,,,,,
Rhineland-Palatinate,115,,,,,,,,,,,,,,,,,
Rhineland-Palatinate,124,158.5,,,,,,,,,,,,,,,,
Rhineland-Palatinate,193,,,,,,,,,,,,,,,,,
Rhineland-Palatinate,221,223,,,,,,,,,,,,,,,,
Rhineland-Palatinate,225,,,,,,,,,,,,,,,,,
Rhineland-Palatinate,155,198,,,,,,,,,,,,,,,,
Rhineland-Palatinate,241,,,,,,,,,,,,,,,,,
Rhineland-Palatinate,184,186,,,,,,,,,,,,,,,,
Rhineland-Palatinate,188,,,,,,,,,,,,,,,,,
Rhineland-Palatinate,142,157.5,,,,,,,,,,,,,,,,
Rhineland-Palatinate,173,,,,,,,,,,,,,,,,,
Saarland,43,28,,,,,,,,,,,,,,,,
Saarland,13,,,,,,,,,,,,,,,,,
Saarland,11,29,,,,,,,,,,,,,,,,
Saarland,47,,,,,,,,,,,,,,,,,
Saarland,41,20.5,,,,,,,,,,,,,,,,
Saarland,0,,,,,,,,,,,,,,,,,
Saarland,13,75,,,,,,,,,,,,,,,,
Saarland,137,,,,,,,,,,,,,,,,,
Saarland,66,48,,,,,,,,,,,,,,,,
Saarland,30,,,,,,,,,,,,,,,,,
Saarland,72,58.5,,,,,,,,,,,,,,,,
Saarland,45,,,,,,,,,,,,,,,,,
Saarland,10,78,,,,,,,,,,,,,,,,
Saarland,146,,,,,,,,,,,,,,,,,
Saarland,76,61.5,,,,,,,,,,,,,,,,
Saarland,47,,,,,,,,,,,,,,,,,
Saxony,79,47.5,,,,,,,,,,,,,,,,
Saxony,16,,,,,,,,,,,,,,,,,
Saxony,77,98,,,,,,,,,,,,,,,,
Saxony,119,,,,,,,,,,,,,,,,,
Saxony,173,106,,,,,,,,,,,,,,,,
Saxony,39,,,,,,,,,,,,,,,,,
Saxony,47,102.5,,,,,,,,,,,,,,,,
Saxony,158,,,,,,,,,,,,,,,,,
Saxony,148,165,,,,,,,,,,,,,,,,
Saxony,182,,,,,,,,,,,,,,,,,
Saxony,164,145.5,,,,,,,,,,,,,,,,
Saxony,127,,,,,,,,,,,,,,,,,
Saxony,185,181.5,,,,,,,,,,,,,,,,
Saxony,178,,,,,,,,,,,,,,,,,
Saxony,87,119.5,,,,,,,,,,,,,,,,
Saxony,152,,,,,,,,,,,,,,,,,
Saxony-Anhalt,18,32.5,,,,,,,,,,,,,,,,
Saxony-Anhalt,47,,,,,,,,,,,,,,,,,
Saxony-Anhalt,35,37.5,,,,,,,,,,,,,,,,
Saxony-Anhalt,40,,,,,,,,,,,,,,,,,
Saxony-Anhalt,8,15.5,,,,,,,,,,,,,,,,
Saxony-Anhalt,23,,,,,,,,,,,,,,,,,
Saxony-Anhalt,1,55,,,,,,,,,,,,,,,,
Saxony-Anhalt,109,,,,,,,,,,,,,,,,,
Saxony-Anhalt,54,48.5,,,,,,,,,,,,,,,,
Saxony-Anhalt,43,,,,,,,,,,,,,,,,,
Saxony-Anhalt,40,20,,,,,,,,,,,,,,,,
Saxony-Anhalt,0,,,,,,,,,,,,,,,,,
Saxony-Anhalt,134,67,,,,,,,,,,,,,,,,
Saxony-Anhalt,0,,,,,,,,,,,,,,,,,
Saxony-Anhalt,88,79,,,,,,,,,,,,,,,,
Saxony-Anhalt,70,,,,,,,,,,,,,,,,,
Schles­wig-Holstein,23,27.5,,,,,,,,,,,,,,,,
Schles­wig-Holstein,32,,,,,,,,,,,,,,,,,
Schles­wig-Holstein,43,53.5,,,,,,,,,,,,,,,,
Schles­wig-Holstein,64,,,,,,,,,,,,,,,,,
Schles­wig-Holstein,42,40.5,,,,,,,,,,,,,,,,
Schles­wig-Holstein,39,,,,,,,,,,,,,,,,,
Schles­wig-Holstein,36,65.5,,,,,,,,,,,,,,,,
Schles­wig-Holstein,95,,,,,,,,,,,,,,,,,
Schles­wig-Holstein,99,98.5,,,,,,,,,,,,,,,,
Schles­wig-Holstein,98,,,,,,,,,,,,,,,,,
Schles­wig-Holstein,137,120,,,,,,,,,,,,,,,,
Schles­wig-Holstein,103,,,,,,,,,,,,,,,,,
Schles­wig-Holstein,90,67,,,,,,,,,,,,,,,,
Schles­wig-Holstein,44,,,,,,,,,,,,,,,,,
Schles­wig-Holstein,71,98.5,,,,,,,,,,,,,,,,
Schles­wig-Holstein,126,,,,,,,,,,,,,,,,,
Thuringia,15,19,,,,,,,,,,,,,,,,
Thuringia,23,,,,,,,,,,,,,,,,,
Thuringia,24,37.5,,,,,,,,,,,,,,,,
Thuringia,51,,,,,,,,,,,,,,,,,
Thuringia,38,33.5,,,,,,,,,,,,,,,,
Thuringia,29,,,,,,,,,,,,,,,,,
Thuringia,33,55.5,,,,,,,,,,,,,,,,
Thuringia,78,,,,,,,,,,,,,,,,,
Thuringia,67,70.5,,,,,,,,,,,,,,,,
Thuringia,74,,,,,,,,,,,,,,,,,
Thuringia,74,58,,,,,,,,,,,,,,,,
Thuringia,42,,,,,,,,,,,,,,,,,
Thuringia,113,67.5,,,,,,,,,,,,,,,,
Thuringia,22,,,,,,,,,,,,,,,,,
Thuringia,65,70.5,,,,,,,,,,,,,,,,
Thuringia,76,,,,,,,,,,,,,,,,,