State,Deaths,Num_1case
Baden-Württem­berg,2,1
Baden-Württem­berg,2,2
Baden-Württem­berg,2,3
Baden-Württem­berg,2,4
Baden-Württem­berg,6,5
Baden-Württem­berg,10,6
Baden-Württem­berg,16,7
Baden-Württem­berg,21,8
Baden-Württem­berg,21,9
Baden-Württem­berg,30,10
Baden-Württem­berg,37,11
Baden-Württem­berg,56,12
Baden-Württem­berg,70,13
Baden-Württem­berg,101,14
Baden-Württem­berg,101,15
Baden-Württem­berg,119,16
Baden-Württem­berg,165,17
Baden-Württem­berg,197,18
Bavaria,4,1
Bavaria,4,2
Bavaria,4,3
Bavaria,4,4
Bavaria,8,5
Bavaria,12,6
Bavaria,19,7
Bavaria,21,8
Bavaria,26,9
Bavaria,30,10
Bavaria,37,11
Bavaria,47,12
Bavaria,55,13
Bavaria,77,14
Bavaria,107,15
Bavaria,127,16
Bavaria,162,17
Bavaria,225,18
Berlin,0,0
Berlin,0,0
Berlin,0,0
Berlin,0,0
Berlin,0,0
Berlin,0,0
Berlin,1,1
Berlin,1,2
Berlin,1,3
Berlin,1,4
Berlin,2,5
Berlin,4,6
Berlin,8,7
Berlin,8,8
Berlin,9,9
Berlin,11,10
Berlin,13,11
Berlin,16,12
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,0,0
Brandenburg,1,1
Brandenburg,1,2
Brandenburg,1,3
Brandenburg,1,4
Brandenburg,1,5
Brandenburg,2,6
Brandenburg,2,7
Brandenburg,4,8
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,0,
Bremen,1,
Bremen,1,
Bremen,2,
Bremen,2,
Bremen,2,
Bremen,4,
Bremen,5,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,0,
Hamburg,2,
Hamburg,2,
Hamburg,4,
Hamburg,5,
Hamburg,9,
Hamburg,14,
Hesse,0,
Hesse,0,
Hesse,0,
Hesse,0,
Hesse,0,
Hesse,1,
Hesse,2,
Hesse,2,
Hesse,3,
Hesse,4,
Hesse,4,
Hesse,6,
Hesse,7,
Hesse,9,
Hesse,9,
Hesse,13,
Hesse,17,
Hesse,21,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,0,
Mecklenburg-WPomerania,1,
Mecklenburg-WPomerania,1,
Mecklenburg-WPomerania,1,
Mecklenburg-WPomerania,3,
Lower_Saxony,0,
Lower_Saxony,0,
Lower_Saxony,0,
Lower_Saxony,0,
Lower_Saxony,0,
Lower_Saxony,0,
Lower_Saxony,0,
Lower_Saxony,1,
Lower_Saxony,4,
Lower_Saxony,6,
Lower_Saxony,7,
Lower_Saxony,8,
Lower_Saxony,10,
Lower_Saxony,12,
Lower_Saxony,21,
Lower_Saxony,26,
Lower_Saxony,34,
Lower_Saxony,42,
NorthRhine-West­phalia,6,
NorthRhine-West­phalia,6,
NorthRhine-West­phalia,6,
NorthRhine-West­phalia,6,
NorthRhine-West­phalia,6,
NorthRhine-West­phalia,6,
NorthRhine-West­phalia,6,
NorthRhine-West­phalia,6,
NorthRhine-West­phalia,28,
NorthRhine-West­phalia,33,
NorthRhine-West­phalia,43,
NorthRhine-West­phalia,53,
NorthRhine-West­phalia,72,
NorthRhine-West­phalia,80,
NorthRhine-West­phalia,98,
NorthRhine-West­phalia,101,
NorthRhine-West­phalia,117,
NorthRhine-West­phalia,134,
Rhineland-Palatinate,0,
Rhineland-Palatinate,0,
Rhineland-Palatinate,0,
Rhineland-Palatinate,0,
Rhineland-Palatinate,0,
Rhineland-Palatinate,1,
Rhineland-Palatinate,1,
Rhineland-Palatinate,2,
Rhineland-Palatinate,2,
Rhineland-Palatinate,5,
Rhineland-Palatinate,5,
Rhineland-Palatinate,6,
Rhineland-Palatinate,8,
Rhineland-Palatinate,11,
Rhineland-Palatinate,12,
Rhineland-Palatinate,18,
Rhineland-Palatinate,19,
Rhineland-Palatinate,23,
Saarland,0,
Saarland,0,
Saarland,0,
Saarland,0,
Saarland,0,
Saarland,0,
Saarland,0,
Saarland,0,
Saarland,0,
Saarland,1,
Saarland,2,
Saarland,2,
Saarland,2,
Saarland,2,
Saarland,2,
Saarland,7,
Saarland,7,
Saarland,8,
Saxony,0,
Saxony,0,
Saxony,0,
Saxony,0,
Saxony,0,
Saxony,0,
Saxony,0,
Saxony,0,
Saxony,0,
Saxony,1,
Saxony,6,
Saxony,7,
Saxony,7,
Saxony,9,
Saxony,9,
Saxony,9,
Saxony,12,
Saxony,17,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,0,
Saxony-Anhalt,1,
Saxony-Anhalt,1,
Saxony-Anhalt,2,
Saxony-Anhalt,2,
Saxony-Anhalt,2,
Saxony-Anhalt,2,
Saxony-Anhalt,6,
Saxony-Anhalt,7,
Schles­wig-Holstein,0,
Schles­wig-Holstein,0,
Schles­wig-Holstein,0,
Schles­wig-Holstein,0,
Schles­wig-Holstein,0,
Schles­wig-Holstein,1,
Schles­wig-Holstein,1,
Schles­wig-Holstein,1,
Schles­wig-Holstein,1,
Schles­wig-Holstein,2,
Schles­wig-Holstein,3,
Schles­wig-Holstein,3,
Schles­wig-Holstein,4,
Schles­wig-Holstein,4,
Schles­wig-Holstein,6,
Schles­wig-Holstein,7,
Schles­wig-Holstein,9,
Schles­wig-Holstein,10,
Thuringia,0,
Thuringia,0,
Thuringia,0,
Thuringia,0,
Thuringia,0,
Thuringia,0,
Thuringia,0,
Thuringia,0,
Thuringia,0,
Thuringia,1,
Thuringia,1,
Thuringia,3,
Thuringia,4,
Thuringia,5,
Thuringia,5,
Thuringia,5,
Thuringia,6,
Thuringia,6,