dateRep,cases,deaths,countriesAndTerritories,countryterritoryCode,popData2018,cum_cases,cum_deaths,Days_10cases,Days_5deaths,cases_doubling,deaths_doubling
2020-02-01,2,0,Germany,DEU,82927922,7,0,0,0,12,12
2020-02-02,1,0,Germany,DEU,82927922,8,0,0,0,12,12
2020-02-03,1,0,Germany,DEU,82927922,9,0,0,0,12,12
2020-02-04,2,0,Germany,DEU,82927922,11,0,1,0,12,12
2020-02-05,0,0,Germany,DEU,82927922,11,0,2,0,12,12
2020-02-06,0,0,Germany,DEU,82927922,11,0,3,0,12,12
2020-02-07,1,0,Germany,DEU,82927922,12,0,4,0,12,12
2020-02-08,1,0,Germany,DEU,82927922,13,0,5,0,12,12
2020-02-09,0,0,Germany,DEU,82927922,13,0,6,0,12,12
2020-02-10,0,0,Germany,DEU,82927922,13,0,7,0,12,12
2020-02-11,0,0,Germany,DEU,82927922,13,0,8,0,12,12
2020-02-12,2,0,Germany,DEU,82927922,15,0,9,0,12,12
2020-02-13,0,0,Germany,DEU,82927922,15,0,10,0,12,12
2020-02-14,0,0,Germany,DEU,82927922,15,0,11,0,12,12
2020-02-15,0,0,Germany,DEU,82927922,15,0,12,0,12,12
2020-02-16,0,0,Germany,DEU,82927922,15,0,13,0,12,12
2020-02-17,0,0,Germany,DEU,82927922,15,0,14,0,12,12
2020-02-18,0,0,Germany,DEU,82927922,15,0,15,0,12,12
2020-02-19,0,0,Germany,DEU,82927922,15,0,16,0,12,12
2020-02-20,0,0,Germany,DEU,82927922,15,0,17,0,12,12
2020-02-21,0,0,Germany,DEU,82927922,15,0,18,0,12,12
2020-02-22,0,0,Germany,DEU,82927922,15,0,19,0,12,12
2020-02-23,0,0,Germany,DEU,82927922,15,0,20,0,12,12
2020-02-24,0,0,Germany,DEU,82927922,15,0,21,0,12,12
2020-02-25,0,0,Germany,DEU,82927922,15,0,22,0,12,12
2020-02-26,2,0,Germany,DEU,82927922,17,0,23,0,12,12
2020-02-27,4,0,Germany,DEU,82927922,21,0,24,0,12,12
2020-02-28,26,0,Germany,DEU,82927922,47,0,25,0,12,12
2020-02-29,10,0,Germany,DEU,82927922,57,0,26,0,12,12
2020-03-01,54,0,Germany,DEU,82927922,111,0,27,0,12,12
2020-03-02,18,0,Germany,DEU,82927922,129,0,28,0,12,12
2020-03-03,28,0,Germany,DEU,82927922,157,0,29,0,12,12
2020-03-04,39,0,Germany,DEU,82927922,196,0,30,0,12,12
2020-03-05,66,0,Germany,DEU,82927922,262,0,31,0,12,12
2020-03-06,138,0,Germany,DEU,82927922,400,0,32,0,12,12
2020-03-07,284,0,Germany,DEU,82927922,684,0,33,0,12,12
2020-03-08,163,0,Germany,DEU,82927922,847,0,34,0,12,12
2020-03-09,55,0,Germany,DEU,82927922,902,0,35,0,12,12
2020-03-10,237,2,Germany,DEU,82927922,1139,2,36,0,12,12
2020-03-11,157,0,Germany,DEU,82927922,1296,2,37,0,12,12
2020-03-12,271,1,Germany,DEU,82927922,1567,3,38,0,12,12
2020-03-13,802,2,Germany,DEU,82927922,2369,5,39,1,12,12
2020-03-14,693,0,Germany,DEU,82927922,3062,5,40,2,12,12
2020-03-15,733,3,Germany,DEU,82927922,3795,8,41,3,12,12
2020-03-16,1043,4,Germany,DEU,82927922,4838,12,42,4,12,12
2020-03-17,1174,1,Germany,DEU,82927922,6012,13,43,5,12,12
2020-03-18,1144,0,Germany,DEU,82927922,7156,13,44,6,12,12
2020-03-19,1042,0,Germany,DEU,82927922,8198,13,45,7,12,12
2020-03-20,5940,30,Germany,DEU,82927922,14138,43,46,8,12,12
2020-03-21,4049,2,Germany,DEU,82927922,18187,45,47,9,12,12
2020-03-22,3276,22,Germany,DEU,82927922,21463,67,48,10,12,12
2020-03-23,3311,27,Germany,DEU,82927922,24774,94,49,11,12,12
2020-03-24,4438,32,Germany,DEU,82927922,29212,126,50,12,12,12
2020-03-25,2342,23,Germany,DEU,82927922,31554,149,51,13,12,12
2020-03-26,4954,49,Germany,DEU,82927922,36508,198,52,14,12,12
2020-03-27,5780,55,Germany,DEU,82927922,42288,253,53,15,12,12
2020-03-28,6294,72,Germany,DEU,82927922,48582,325,54,16,12,12
2020-03-29,3965,64,Germany,DEU,82927922,52547,389,55,17,12,12
2020-03-30,4751,66,Germany,DEU,82927922,57298,455,56,18,12,12
2020-03-31,4615,128,Germany,DEU,82927922,61913,583,57,19,12,12
2020-04-01,5453,149,Germany,DEU,82927922,67366,732,58,20,12,12
2020-04-02,6156,140,Germany,DEU,82927922,73522,872,59,21,12,12
2020-04-03,6174,145,Germany,DEU,82927922,79696,1017,60,22,12,12
2020-04-04,6082,141,Germany,DEU,82927922,85778,1158,61,23,12,12
2020-04-05,5936,184,Germany,DEU,82927922,91714,1342,62,24,12,12
2020-04-06,3677,92,Germany,DEU,82927922,95391,1434,63,25,12,12
2020-04-07,3834,173,Germany,DEU,82927922,99225,1607,64,26,12,12
2020-04-08,4003,254,Germany,DEU,82927922,103228,1861,65,27,12,12
2020-04-09,4974,246,Germany,DEU,82927922,108202,2107,66,28,12,12
2020-04-10,5323,266,Germany,DEU,82927922,113525,2373,67,29,12,12
2020-04-11,4133,171,Germany,DEU,82927922,117658,2544,68,30,12,12
2020-04-12,2821,129,Germany,DEU,82927922,120479,2673,69,31,12,12
2020-04-13,2537,126,Germany,DEU,82927922,123016,2799,70,32,12,12
2020-04-14,2082,170,Germany,DEU,82927922,125098,2969,71,33,12,12